date,close,change,change_pct,per,pbr,dividend_yield_pct
2007-04-18,1534.58,5.92,0.39,12.29,1.57,1.54
2007-04-19,1513.66,-20.92,-1.36,12.12,1.55,1.57
2007-04-20,1533.08,19.42,1.28,12.27,1.57,1.55
2007-04-23,1544.35,11.27,0.74,12.36,1.58,1.53
2007-04-24,1556.71,12.36,0.8,12.47,1.59,1.52
2007-04-25,1545.55,-11.16,-0.72,12.33,1.58,1.53
2007-04-26,1553.13,7.58,0.49,12.38,1.59,1.53
2007-04-27,1542.52,-10.61,-0.68,12.29,1.58,1.54
2007-04-30,1542.24,-0.28,-0.02,13.21,1.42,1.78
2007-05-02,1553.3,11.06,0.72,13.3,1.43,1.77
2007-05-03,1559.86,6.56,0.42,13.36,1.44,1.76
2007-05-04,1567.74,7.88,0.51,13.43,1.45,1.75
2007-05-07,1584.46,16.72,1.07,13.57,1.46,1.73
2007-05-08,1582.65,-1.81,-0.11,13.56,1.46,1.73
2007-05-09,1593.42,10.77,0.68,13.65,1.47,1.72
2007-05-10,1599.68,6.26,0.39,13.7,1.48,1.72
2007-05-11,1603.56,3.88,0.24,13.74,1.48,1.71
2007-05-14,1605.77,2.21,0.14,13.75,1.48,1.71
2007-05-15,1589.37,-16.4,-1.02,13.61,1.47,1.73
2007-05-16,1600.6,11.23,0.71,13.71,1.48,1.71
2007-05-17,1615.58,14.98,0.94,13.84,1.49,1.7
2007-05-18,1612.25,-3.33,-0.21,13.81,1.49,1.7
2007-05-21,1628.2,15.95,0.99,13.86,1.5,1.69
2007-05-22,1642.88,14.68,0.9,13.98,1.51,1.67
2007-05-23,1646.59,3.71,0.23,14.02,1.52,1.67
2007-05-25,1644.56,-2.03,-0.12,14,1.52,1.67
2007-05-28,1657.91,13.35,0.81,14.11,1.53,1.66
2007-05-29,1661.8,3.89,0.23,14.14,1.53,1.65
2007-05-30,1662.72,0.92,0.06,14.15,1.53,1.65
2007-05-31,1700.91,38.19,2.3,14.47,1.57,1.61
2007-06-01,1716.24,15.33,0.9,14.61,1.58,1.6
2007-06-04,1737.59,21.35,1.24,14.79,1.6,1.58
2007-06-05,1742.19,4.6,0.26,14.83,1.61,1.57
2007-06-07,1753.04,10.85,0.62,14.92,1.62,1.56
2007-06-08,1727.28,-25.76,-1.47,14.71,1.59,1.59
2007-06-11,1716.56,-10.72,-0.62,14.61,1.58,1.6
2007-06-12,1729.88,13.32,0.78,14.74,1.59,1.59
2007-06-13,1721.99,-7.89,-0.46,14.67,1.59,1.59
2007-06-14,1769.18,47.19,2.74,15.08,1.63,1.55
2007-06-15,1772.26,3.08,0.17,15.1,1.63,1.55
2007-06-18,1806.88,34.62,1.95,15.4,1.67,1.52
2007-06-19,1807.85,0.97,0.05,15.41,1.67,1.52
2007-06-20,1783.79,-24.06,-1.33,15.2,1.64,1.54
2007-06-21,1794.24,10.45,0.59,15.29,1.65,1.53
2007-06-22,1770.98,-23.26,-1.3,15.09,1.63,1.55
2007-06-25,1757.73,-13.25,-0.75,14.98,1.62,1.56
2007-06-26,1749.55,-8.18,-0.47,14.91,1.61,1.57
2007-06-27,1733.1,-16.45,-0.94,14.77,1.6,1.58
2007-06-28,1751.75,18.65,1.08,14.97,1.62,1.55
2007-06-29,1743.6,-8.15,-0.47,14.9,1.61,1.56
2007-07-02,1771.35,27.75,1.59,15.15,1.64,1.54
2007-07-03,1805.5,34.15,1.93,15.44,1.67,1.51
2007-07-04,1838.41,32.91,1.82,15.72,1.7,1.48
2007-07-05,1847.79,9.38,0.51,15.8,1.71,1.47
2007-07-06,1861.01,13.22,0.72,15.92,1.72,1.46
2007-07-09,1883.59,22.58,1.21,16.11,1.74,1.44
2007-07-10,1894.53,10.94,0.58,16.2,1.75,1.43
2007-07-11,1889.96,-4.57,-0.24,16.16,1.75,1.44
2007-07-12,1909.75,19.79,1.05,16.33,1.77,1.42
2007-07-13,1962.93,53.18,2.78,17.01,1.81,1.38
2007-07-16,1949.51,-13.42,-0.68,16.9,1.8,1.39
2007-07-18,1930.7,-18.81,-0.96,16.74,1.78,1.4
2007-07-19,1937.9,7.2,0.37,16.81,1.79,1.39
2007-07-20,1983.54,45.64,2.36,17.2,1.83,1.36
2007-07-23,1993.05,9.51,0.48,17.28,1.84,1.36
2007-07-24,1992.26,-0.79,-0.04,17.28,1.84,1.36
2007-07-25,2004.22,11.96,0.6,17.48,1.85,1.34
2007-07-26,1963.54,-40.68,-2.03,17.15,1.82,1.35
2007-07-27,1883.22,-80.32,-4.09,16.44,1.74,1.41
2007-07-30,1906.71,23.49,1.25,16.64,1.76,1.39
2007-07-31,1933.27,26.56,1.39,16.88,1.79,1.37
2007-08-01,1856.45,-76.82,-3.97,16.22,1.72,1.43
2007-08-02,1853.07,-3.38,-0.18,16.19,1.72,1.43
2007-08-03,1876.8,23.73,1.28,16.41,1.74,1.41
2007-08-06,1855.05,-21.75,-1.16,16.22,1.72,1.43
2007-08-07,1859.82,4.77,0.26,16.27,1.72,1.43
2007-08-08,1903.41,43.59,2.34,16.65,1.76,1.39
2007-08-09,1908.68,5.27,0.28,16.7,1.77,1.39
2007-08-10,1828.49,-80.19,-4.2,16,1.69,1.45
2007-08-13,1849.26,20.77,1.14,16.18,1.71,1.43
2007-08-14,1817.89,-31.37,-1.7,15.92,1.69,1.46
2007-08-16,1691.98,-125.91,-6.93,14.82,1.57,1.57
2007-08-17,1638.07,-53.91,-3.19,14.33,1.52,1.62
2007-08-20,1731.27,93.2,5.69,15.14,1.6,1.53
2007-08-21,1736.18,4.91,0.28,15.18,1.61,1.53
2007-08-22,1759.5,23.32,1.34,15.39,1.63,1.51
2007-08-23,1799.72,40.22,2.29,15.74,1.67,1.47
2007-08-24,1791.33,-8.39,-0.47,15.66,1.66,1.47
2007-08-27,1803.03,11.7,0.65,15.76,1.67,1.46
