date,close,change,change_pct,open,high,low,volume_thousand_shares,trading_value_million_krw,market_cap_million_krw
2007-03-02,1414.47,-2.87,-0.2,1407.19,1423.58,1406.63,243110,3511214,694912498
2007-03-05,1376.15,-38.32,-2.71,1400.8,1404.23,1375.84,232595,3278014,676185601
2007-03-06,1402.93,26.78,1.95,1382.7,1403.75,1382.7,239219,3009735,689373788
2007-03-07,1410.95,8.02,0.57,1415.35,1415.5,1397.83,254195,3203549,693143969
2007-03-08,1423.89,12.94,0.92,1409.02,1433.15,1408.34,285797,3363210,699407615
2007-03-09,1423.58,-0.31,-0.02,1433.27,1434.7,1415.71,227388,3111535,699295957
2007-03-12,1441.33,17.75,1.25,1429.68,1441.83,1429.68,245054,2968500,708246479
2007-03-13,1436.05,-5.28,-0.37,1441.6,1442.04,1433.67,256425,2924575,705517281
2007-03-14,1407.37,-28.68,-2,1409.66,1416.8,1405.13,259289,3030644,691470338
2007-03-15,1426.93,19.56,1.39,1418.77,1429.38,1414.98,254364,2743098,700877507
2007-03-16,1427.88,0.95,0.07,1428.63,1431.75,1416.3,304139,2543200,701347256
2007-03-19,1443.39,15.51,1.09,1425.22,1444.76,1420.89,280843,2846251,708728658
2007-03-20,1444.17,0.78,0.05,1449.43,1449.79,1440.42,364485,3390628,709234373
2007-03-21,1442.85,-1.32,-0.09,1446.07,1452.05,1435.36,342964,3000185,708437627
2007-03-22,1448.53,5.68,0.39,1452.13,1456.18,1447.79,301021,3635007,711570842
2007-03-23,1447.38,-1.15,-0.08,1449.99,1454.34,1443.04,278884,2950809,710935643
2007-03-26,1449.77,2.39,0.17,1451.12,1455.51,1444.25,312613,3118567,712138506
2007-03-27,1453.23,3.46,0.24,1450.02,1456.39,1442.49,259867,3118254,713729149
2007-03-28,1439.74,-13.49,-0.93,1451.47,1456.78,1433.12,297973,3575503,707279680
2007-03-29,1450.95,11.21,0.78,1434.58,1453.11,1432.8,283081,3496142,712772672
2007-03-30,1452.55,1.6,0.11,1457.58,1459.69,1447.85,288433,3313319,713293316
2007-04-02,1459.53,6.98,0.48,1456.19,1464.93,1456.06,303522,3546507,716950422
2007-04-03,1463.75,4.22,0.29,1463.41,1464.48,1452.56,340652,3757241,719128015
2007-04-04,1483.41,19.66,1.34,1474.65,1484.86,1471.05,353989,4640824,729011043
2007-04-05,1482.04,-1.37,-0.09,1485.53,1485.77,1478.45,328413,3255581,728556457
2007-04-06,1484.15,2.11,0.14,1487.73,1488.58,1477.69,313663,3389507,729325975
2007-04-09,1501.06,16.91,1.14,1489.79,1501.06,1489.13,388208,4186551,737708800
2007-04-10,1499.16,-1.9,-0.13,1500.79,1502.34,1492.35,359301,4059585,736872218
2007-04-11,1513.42,14.26,0.95,1508.68,1519.31,1507.57,386765,5266418,744151748
2007-04-12,1525.61,12.19,0.81,1510.27,1525.61,1507.56,360182,4615176,749803339
2007-04-13,1520.78,-4.83,-0.32,1523.82,1526.09,1512.36,426238,4532485,747363935
2007-04-16,1532.04,11.26,0.74,1523.89,1533.09,1519.3,462199,4198012,752957414
2007-04-17,1528.66,-3.38,-0.22,1538.89,1538.89,1524.33,422556,4524207,751297908
2007-04-18,1534.58,5.92,0.39,1532.57,1538.29,1530.02,352532,4264479,754073254
2007-04-19,1513.66,-20.92,-1.36,1536.89,1537.43,1506.14,363739,4478336,743682552
2007-04-20,1533.08,19.42,1.28,1518.58,1533.09,1518.58,397531,4404628,753050264
2007-04-23,1544.35,11.27,0.74,1545.45,1554.5,1538.33,386980,4914076,758438945
2007-04-24,1556.71,12.36,0.8,1545.61,1557.65,1538.11,393475,5455457,764289739
2007-04-25,1545.55,-11.16,-0.72,1558.2,1558.72,1536.12,445538,6627839,758742949
2007-04-26,1553.13,7.58,0.49,1560.22,1565.03,1553.13,391552,5263926,762724512
2007-04-27,1542.52,-10.61,-0.68,1547.2,1553.23,1537.37,356442,4571709,757414198
2007-04-30,1542.24,-0.28,-0.02,1538.69,1542.25,1530.67,315971,3965713,757287335
2007-05-02,1553.3,11.06,0.72,1550.39,1555.62,1546.6,274336,3733029,762668416
2007-05-03,1559.86,6.56,0.42,1563.42,1564.01,1555.28,249678,3753858,766002456
2007-05-04,1567.74,7.88,0.51,1563.16,1567.74,1556.62,254508,3935183,769854284
2007-05-07,1584.46,16.72,1.07,1574.86,1585.7,1574.86,434480,5046215,778164482
2007-05-08,1582.65,-1.81,-0.11,1585.52,1589.07,1577.18,384029,5264052,777296752
2007-05-09,1593.42,10.77,0.68,1582.91,1593.42,1578.58,358531,4351880,782537489
2007-05-10,1599.68,6.26,0.39,1602.56,1616.06,1599.68,408579,5542590,785464011
2007-05-11,1603.56,3.88,0.24,1588.09,1604.63,1582.76,373584,4791159,787338164
2007-05-14,1605.77,2.21,0.14,1612.73,1622.16,1599.87,477817,5108484,788460881
