date,close,change,change_pct,open,high,low,volume_thousand_shares,trading_value_million_krw,market_cap_million_krw
2010-10-22,1897.31,22.62,1.21,1882.08,1897.31,1880.25,348416,5958618,1052924511
2010-10-25,1915.71,18.4,0.97,1902.51,1918.87,1899.08,408170,6625331,1063076227
2010-10-26,1919.41,3.7,0.19,1913.25,1919.56,1909.27,351859,6579873,1065165723
2010-10-27,1909.54,-9.87,-0.51,1919.48,1924.61,1902.18,392949,6836415,1059605447
2010-10-28,1907.87,-1.67,-0.09,1909.38,1914.89,1901.8,348383,5599971,1058786941
2010-10-29,1882.95,-24.92,-1.31,1913.61,1913.95,1875.31,375835,6067064,1045085747
2010-11-01,1914.74,31.79,1.69,1889.57,1914.74,1880.25,343303,6074095,1062600383
2010-11-02,1918.04,3.3,0.17,1912.28,1920.29,1907.18,340827,6498418,1064288619
2010-11-03,1935.97,17.93,0.93,1931.13,1943.23,1930.11,358980,6831168,1074183559
2010-11-04,1942.5,6.53,0.34,1941.56,1945.58,1936.04,324776,6432446,1078243937
2010-11-05,1938.96,-3.54,-0.18,1962.34,1966.99,1938.57,401398,7966855,1076478510
2010-11-08,1942.41,3.45,0.18,1946.76,1948.44,1930.29,312654,5493256,1078390143
2010-11-09,1947.46,5.05,0.26,1943.56,1947.66,1935.38,298819,6179718,1080933517
2010-11-10,1967.85,20.39,1.05,1945.73,1967.85,1945.28,366013,6620584,1092411837
2010-11-11,1914.73,-53.12,-2.7,1966.5,1976.46,1914.73,373175,9622796,1063573102
2010-11-12,1913.12,-1.61,-0.08,1951.35,1958.22,1899.49,465469,9459309,1062551918
2010-11-15,1913.81,0.69,0.04,1918.69,1925.43,1900.25,303805,6156939,1063057803
2010-11-16,1899.13,-14.68,-0.77,1912.11,1916.07,1890,336328,7041556,1055199128
2010-11-17,1897.11,-2.02,-0.11,1877.23,1908.17,1875.34,293292,5852088,1054090202
2010-11-18,1927.86,30.75,1.62,1908.38,1929.24,1904.37,271425,5730263,1071012988
2010-11-19,1940.96,13.1,0.68,1936.74,1940.96,1927.81,292691,6090464,1078548325
2010-11-22,1944.34,3.38,0.17,1947.01,1954.78,1939.51,330550,7475441,1080704923
2010-11-23,1928.94,-15.4,-0.79,1938.91,1943.48,1919.15,377790,7441082,1072265418
2010-11-24,1925.98,-2.96,-0.15,1883.92,1928.45,1882.52,451503,8125499,1070708265
2010-11-25,1927.68,1.7,0.09,1934.97,1935.59,1916.16,323352,5732687,1071596123
2010-11-26,1901.8,-25.88,-1.34,1932.78,1936.72,1893.94,459214,5826764,1057348299
2010-11-29,1895.54,-6.26,-0.33,1904.95,1912.53,1880.58,299801,4611454,1053688675
2010-11-30,1904.63,9.09,0.48,1889.89,1917.57,1889.86,443688,6207086,1058643583
2010-12-01,1929.32,24.69,1.3,1907.7,1929.32,1904.71,339157,5030412,1072337266
2010-12-02,1950.26,20.94,1.09,1943.71,1950.26,1940.23,439005,5924099,1084473621
2010-12-03,1957.26,7,0.36,1960.61,1960.61,1948.51,438585,6911006,1088422226
2010-12-06,1953.64,-3.62,-0.18,1961.23,1961.47,1946.35,460284,5519111,1086365254
2010-12-07,1962.52,8.88,0.45,1955.63,1964.64,1952.56,639162,6303216,1091261787
2010-12-08,1955.72,-6.8,-0.35,1960.3,1970.91,1953.97,496386,5509381,1087565739
2010-12-09,1988.96,33.24,1.7,1963.88,1988.96,1961.68,448349,7015508,1105948367
2010-12-10,1986.14,-2.82,-0.14,1984.11,1991.96,1979.73,373855,5592144,1104289539
2010-12-13,1996.59,10.45,0.53,1993.42,1997.36,1983.93,385628,5176667,1110057744
2010-12-14,2009.05,12.46,0.62,2000.6,2009.05,1996.82,396589,6484482,1118279306
2010-12-15,2017.48,8.43,0.42,2009.2,2017.48,2004.06,490269,6691418,1122919615
2010-12-16,2009.24,-8.24,-0.41,2009.86,2019.49,2002.33,362506,5473248,1118212719
2010-12-17,2026.3,17.06,0.85,2018.28,2027.55,2010.75,503495,6909515,1127884814
2010-12-20,2020.28,-6.02,-0.3,2008.14,2021.7,1996.44,409153,7207171,1124644910
2010-12-21,2037.09,16.81,0.83,2035.11,2043.81,2032.66,370450,7396369,1133777121
2010-12-22,2038.11,1.02,0.05,2039.35,2045.39,2035.25,335352,6204326,1134396979
2010-12-23,2037.53,-0.58,-0.03,2042.41,2043.62,2028.78,341067,5238857,1134508353
2010-12-24,2029.6,-7.93,-0.39,2040.64,2042.89,2027.96,317438,5437041,1130297621
2010-12-27,2022.19,-7.41,-0.37,2024.56,2034.62,2018.75,282872,5396242,1126534941
2010-12-28,2033.32,11.13,0.55,2028.41,2041.83,2026.57,360188,6051666,1132715013
2010-12-29,2043.49,10.17,0.5,2028.57,2043.49,2027.52,282562,5054605,1137698520
2010-12-30,2051,7.51,0.37,2047.82,2052.97,2041.66,305881,5396897,1141885458
2011-01-03,2070.08,19.08,0.93,2063.69,2070.09,2054.83,354083,5941471,1153204185
2011-01-04,2085.14,15.06,0.73,2074.56,2085.14,2069.12,415907,7799740,1163384106
2011-01-05,2082.55,-2.59,-0.12,2083.1,2087.14,2076.92,386065,8609367,1162008606
2011-01-06,2077.61,-4.94,-0.24,2094.35,2096.65,2066.1,407829,8804442,1159300879
2011-01-07,2086.2,8.59,0.41,2073.68,2086.2,2068.66,335559,7675865,1164242711
2011-01-10,2080.81,-5.39,-0.26,2082.29,2088.64,2069.3,342637,7324759,1161296287
2011-01-11,2088.32,7.51,0.36,2079.85,2088.32,2059.67,410949,7021419,1165326146
2011-01-12,2094.95,6.63,0.32,2091.7,2098,2085.99,433264,8017806,1169057029
2011-01-13,2089.48,-5.47,-0.26,2097.04,2109.34,2083.8,424205,9204262,1165839514
2011-01-14,2108.17,18.69,0.89,2089.7,2108.17,2076.44,424721,8901923,1176340368
2011-01-17,2099.85,-8.32,-0.39,2112.37,2118.86,2099.84,428364,8159169,1171862510
2011-01-18,2096.48,-3.37,-0.16,2095.85,2111.4,2093.32,454895,8055007,1171595151
2011-01-19,2115.69,19.21,0.92,2106.53,2119.24,2084.08,425470,8741413,1182475352
2011-01-20,2106.66,-9.03,-0.43,2111.41,2114.2,2102.61,335462,6610410,1177156834
2011-01-21,2069.92,-36.74,-1.74,2103.74,2104.39,2066.82,395396,7528693,1156643407
2011-01-24,2082.16,12.24,0.59,2067.32,2082.97,2064,340241,6098845,1163233466
2011-01-25,2086.67,4.51,0.22,2092.27,2105.33,2083.8,420956,7467409,1165945805
2011-01-26,2110.46,23.79,1.14,2093.59,2112.33,2092.41,369361,6249682,1179218741
2011-01-27,2115.01,4.55,0.22,2115.04,2121.06,2108.53,358857,7461008,1181918234
2011-01-28,2107.87,-7.14,-0.34,2115.69,2119.49,2095.36,412955,8003552,1178152242
2011-01-31,2069.73,-38.14,-1.81,2080.6,2089.72,2069.73,320903,7409382,1156745580
2011-02-01,2072.03,2.3,0.11,2079.92,2086.56,2071.73,290811,6225210,1152624035
2011-02-07,2081.74,9.71,0.47,2102.76,2107.83,2081.73,285936,6636790,1157785017
2011-02-08,2069.7,-12.04,-0.58,2090.47,2092.43,2066.71,300332,7344362,1150674402
2011-02-09,2045.58,-24.12,-1.17,2077.12,2077.12,2037.3,333191,6834293,1137476440
2011-02-10,2008.5,-37.08,-1.81,2041.07,2043.07,2008.5,309760,7207061,1116828227
2011-02-11,1977.19,-31.31,-1.56,2010.29,2021.42,1975.47,317289,7451991,1099355689
2011-02-14,2014.59,37.4,1.89,1999.09,2015.84,1986.94,279515,5784285,1120230499
2011-02-15,2010.52,-4.07,-0.2,2018.4,2029.99,2003.58,275029,5868814,1118317847
2011-02-16,1989.11,-21.41,-1.06,2007.08,2021.69,1989.11,297634,5750879,1105981410
2011-02-17,1977.22,-11.89,-0.6,2002,2006.59,1959.71,340276,6907021,1099612910
2011-02-18,2013.14,35.92,1.82,1989.24,2015.78,1981.75,493969,5918960,1119122425
2011-02-21,2005.3,-7.84,-0.39,2014.15,2014.98,1991.7,324237,5968227,1116595539
2011-02-22,1969.92,-35.38,-1.76,1978.34,1982.7,1958.77,346087,6230606,1096886911
2011-02-23,1961.63,-8.29,-0.42,1962.7,1977.99,1951.75,308586,5744760,1093424913
2011-02-24,1949.88,-11.75,-0.6,1957.63,1970.66,1945.41,281574,5442691,1087166638
2011-02-25,1963.43,13.55,0.69,1956.02,1965.48,1941.15,306888,5029012,1099478603
2011-02-28,1939.3,-24.13,-1.23,1954.4,1958.59,1935.93,263869,4698460,1086352090
2011-03-02,1928.24,-11.06,-0.57,1922.38,1940.78,1921.34,207670,4680863,1080377959
2011-03-03,1970.66,42.42,2.2,1942.24,1970.66,1941.23,284829,5205678,1103718170
2011-03-04,2004.68,34.02,1.73,1989.88,2008.89,1984.15,334579,6175499,1123185173
2011-03-07,1980.27,-24.41,-1.22,1996.48,2005.43,1978.13,255919,4802369,1109581295
2011-03-08,1996.32,16.05,0.81,1984.08,2007.24,1974.73,304750,5480526,1118716610
2011-03-09,2001.47,5.15,0.26,2007.79,2016.68,1991.52,315357,6574753,1121674598
2011-03-10,1981.58,-19.89,-0.99,1999.38,2001.27,1973.88,288387,7294854,1111915095
2011-03-11,1955.54,-26.04,-1.31,1956.34,1970.7,1949.32,267174,5541132,1097437201
2011-03-14,1971.23,15.69,0.8,1949.08,1971.23,1928.99,388622,9563434,1106686377
2011-03-15,1923.92,-47.31,-2.4,1966.82,1985.82,1882.09,403890,9848213,1080148447
2011-03-16,1957.97,34.05,1.77,1951.68,1965.15,1931.38,284416,7178788,1098861235
2011-03-17,1959.03,1.06,0.05,1921.59,1961.09,1919.13,305714,6935374,1099182499
2011-03-18,1981.13,22.1,1.13,1963.17,1988.04,1960.49,291299,6933050,1111377332
2011-03-21,2003.42,22.29,1.13,1985.47,2005.32,1985.15,292260,5710479,1123639050
2011-03-22,2013.66,10.24,0.51,2012.48,2016.27,2004.36,304108,7497670,1128759615
2011-03-23,2012.18,-1.48,-0.07,2019.18,2022.14,2005.59,312568,7605202,1128064986
2011-03-24,2036.78,24.6,1.22,2022.26,2036.93,2022.08,295492,6731748,1141778492
2011-03-25,2054.04,17.26,0.85,2058.35,2060.29,2041.72,311218,7256498,1151947697
2011-03-28,2056.39,2.35,0.11,2054.28,2059.92,2043.99,285363,6485062,1153225476
2011-03-29,2072.13,15.74,0.77,2052.87,2072.13,2050.09,250467,6321740,1161873628
2011-03-30,2091.38,19.25,0.93,2075.91,2100.2,2074.26,316864,8369190,1172989071
2011-03-31,2106.7,15.32,0.73,2098.09,2106.74,2089.12,317892,8406348,1181416523
2011-04-01,2121.01,14.31,0.68,2107.67,2121.02,2101.83,337942,7653432,1189473238
2011-04-04,2115.87,-5.14,-0.24,2124.37,2125.53,2103.82,301801,8092514,1186494800
2011-04-05,2130.43,14.56,0.69,2118.08,2130.43,2107.78,327665,6720871,1194593648
2011-04-06,2126.71,-3.72,-0.17,2129.13,2136.29,2119.66,423048,8937472,1192523858
2011-04-07,2122.14,-4.57,-0.21,2133.31,2135.73,2111.54,382814,7428609,1189993377
2011-04-08,2127.97,5.83,0.27,2119.01,2135.98,2118.72,392842,8880397,1193116558
2011-04-11,2122.39,-5.58,-0.26,2127.2,2135.33,2115.89,316066,7414401,1189910908
2011-04-12,2089.4,-32.99,-1.55,2117.21,2117.21,2088.67,311138,7024011,1171491052
2011-04-13,2121.92,32.52,1.56,2091.68,2121.93,2081.98,348085,6918450,1189878061
2011-04-14,2141.06,19.14,0.9,2116.49,2141.07,2109.63,371732,9509774,1200584798
2011-04-15,2140.5,-0.56,-0.03,2136.27,2142.71,2126.59,356652,8317169,1200271488
2011-04-18,2137.72,-2.78,-0.13,2146.83,2149.45,2128.02,358281,9577166,1198613311
2011-04-19,2122.68,-15.04,-0.7,2117.94,2136.95,2111.6,375025,9042177,1190379049
2011-04-20,2169.91,47.23,2.23,2146.38,2169.94,2138.8,374320,10274200,1216638171
2011-04-21,2198.54,28.63,1.32,2190.64,2211.36,2183.52,415980,12719486,1232457693
2011-04-22,2197.82,-0.72,-0.03,2203.04,2208.06,2190.87,390812,9881427,1231675174
2011-04-25,2216,18.18,0.83,2205.2,2218.07,2199.27,354022,8152120,1241826577
2011-04-26,2206.3,-9.7,-0.44,2219.47,2222.56,2196.76,439336,11481568,1236738521
2011-04-27,2206.7,0.4,0.02,2225.95,2231.47,2191.82,423198,13259094,1237255134
2011-04-28,2208.35,1.65,0.07,2215.42,2225.35,2194.15,354850,10524803,1238492930
2011-04-29,2192.36,-15.99,-0.72,2211.33,2219.6,2177.8,364121,11369962,1229813409
2011-05-02,2228.96,36.6,1.67,2203.09,2229.09,2202.92,302491,8417233,1250288118
2011-05-03,2200.73,-28.23,-1.27,2224.4,2228.04,2188.11,375103,8557282,1234459630
2011-05-04,2180.64,-20.09,-0.91,2196.9,2201.69,2173.21,393736,8461870,1223067127
2011-05-06,2147.45,-33.19,-1.52,2153.5,2156.81,2133.97,344194,8601909,1204677945
2011-05-09,2139.17,-8.28,-0.39,2157.95,2161.93,2136.59,253934,5874813,1200153448
2011-05-11,2166.63,27.46,1.28,2161.44,2166.63,2144.94,378036,7145271,1215421664
2011-05-12,2122.65,-43.98,-2.03,2139.24,2149.42,2122.6,382254,7606626,1190966104
2011-05-13,2120.08,-2.57,-0.12,2133.99,2134.53,2103.06,397073,8668257,1189746839
2011-05-16,2104.18,-15.9,-0.75,2104.67,2115.25,2097.16,273619,6244501,1180704016
2011-05-17,2102.41,-1.77,-0.08,2103.82,2111.44,2092.32,300785,5816925,1179634987
2011-05-18,2135.78,33.37,1.59,2110.7,2138.72,2106.41,259991,7215357,1198282118
2011-05-19,2095.51,-40.27,-1.89,2141.29,2143.41,2092.61,283358,7961200,1175716166
2011-05-20,2111.5,15.99,0.76,2101.45,2112.48,2084.06,282777,6182381,1184395237
2011-05-23,2055.71,-55.79,-2.64,2100.44,2100.44,2055.71,292953,6350014,1153458200
2011-05-24,2061.76,6.05,0.29,2052.44,2070.64,2048.55,268517,6095592,1156564018
2011-05-25,2035.87,-25.89,-1.26,2073.53,2082.12,2030.68,344973,6924689,1142389973
2011-05-26,2091.91,56.04,2.75,2059.93,2094.35,2056.49,296695,7279454,1173540159
2011-05-27,2100.24,8.33,0.4,2087.36,2111.36,2085.24,272782,7237259,1178266981
2011-05-30,2093.79,-6.45,-0.31,2115.27,2116.13,2085.75,213193,5747086,1174515169
2011-05-31,2142.47,48.68,2.32,2104.16,2146.79,2102.77,303264,9496716,1201535708
2011-06-01,2141.34,-1.13,-0.05,2142.67,2152.95,2132.85,294708,8124100,1201658965
2011-06-02,2114.2,-27.14,-1.27,2098.37,2126.8,2093.97,248779,7307482,1186603079
2011-06-03,2113.47,-0.73,-0.03,2123.47,2131.93,2108.75,264108,6858157,1186958412
2011-06-07,2099.71,-13.76,-0.65,2093.45,2106.85,2091.26,246621,6213589,1179333160
2011-06-08,2083.35,-16.36,-0.78,2102.97,2109.11,2068.78,281368,6665898,1170446285
2011-06-09,2071.42,-11.93,-0.57,2076.7,2088.82,2067.58,283662,7393646,1163744258
2011-06-10,2046.67,-24.75,-1.19,2085.85,2093.94,2045.24,265874,7181166,1150248425
2011-06-13,2048.74,2.07,0.1,2030.54,2057.65,2025.42,218485,5608764,1151153827
2011-06-14,2076.83,28.09,1.37,2045.22,2082.25,2040.69,209519,6201674,1167172553
2011-06-15,2086.53,9.7,0.47,2087.96,2091,2064.82,229156,6080612,1172762619
2011-06-16,2046.63,-39.9,-1.91,2057.16,2068.17,2043.81,234158,5887030,1150630652
2011-06-17,2031.93,-14.7,-0.72,2057.46,2058.67,2008.84,282483,8101624,1142098434
2011-06-20,2019.65,-12.28,-0.6,2034.35,2047.12,2017.52,229184,6377178,1134887988
2011-06-21,2048.17,28.52,1.41,2041.15,2051.19,2015.86,278610,6813490,1150933542
2011-06-22,2063.9,15.73,0.77,2066.91,2074.46,2059.36,263839,6353157,1159768465
2011-06-23,2055.86,-8.04,-0.39,2048.06,2064.96,2048.06,259638,5407198,1155197053
2011-06-24,2090.81,34.95,1.7,2063.92,2090.82,2062.26,294102,8104801,1174795233
2011-06-27,2070.29,-20.52,-0.98,2076.01,2076.94,2058.4,246532,4958947,1163016186
2011-06-28,2062.91,-7.38,-0.36,2092.94,2099.94,2062.91,328640,5870037,1158896707
2011-06-29,2094.42,31.51,1.53,2097.87,2098.95,2081.71,256146,5915864,1177629255
2011-06-30,2100.69,6.27,0.3,2103.59,2105.47,2091.09,257291,6428419,1183469296
2011-07-01,2125.74,25.05,1.19,2120.03,2131.67,2116.68,273414,6811813,1197691904
2011-07-04,2145.3,19.56,0.92,2143.24,2153.29,2141.98,290459,6760170,1208899354
2011-07-05,2161.75,16.45,0.77,2149.4,2163.37,2145.87,284885,6460079,1218330865
2011-07-06,2171.19,9.44,0.44,2156.94,2171.19,2155.33,275940,7277886,1223542028
2011-07-07,2180.59,9.4,0.43,2167.18,2184.94,2165.15,355587,8239765,1228757573
2011-07-08,2180.35,-0.24,-0.01,2192.83,2192.83,2173.96,323024,9318017,1228916647
2011-07-11,2157.16,-23.19,-1.06,2167.94,2171.29,2151.84,240691,5615933,1216062170
2011-07-12,2109.73,-47.43,-2.2,2131.07,2136.98,2107.95,286417,6246443,1189654998
2011-07-13,2129.64,19.91,0.94,2117.12,2129.64,2107.63,306087,6569547,1200628389
2011-07-14,2130.07,0.43,0.02,2119.06,2130.08,2105.24,307418,8198559,1201192340
2011-07-15,2145.2,15.13,0.71,2123.57,2145.2,2123,272103,6111820,1209584112
2011-07-18,2130.48,-14.72,-0.69,2149.97,2149.97,2121.73,329001,6095542,1201282997
2011-07-19,2130.21,-0.27,-0.01,2127.13,2140.44,2123.43,303460,6156964,1201201490
2011-07-20,2154.95,24.74,1.16,2158.88,2164.22,2149.25,373914,8387524,1215223405
2011-07-21,2145.04,-9.91,-0.46,2153.94,2155.49,2135.66,362340,7342152,1209551460
2011-07-22,2171.23,26.19,1.22,2162,2171.24,2153.49,412964,7351118,1224620562
2011-07-25,2150.48,-20.75,-0.96,2154,2158.35,2146.99,341969,5931765,1213021926
2011-07-26,2168.7,18.22,0.85,2163.08,2168.7,2148.22,330151,6704314,1223228483
2011-07-27,2174.31,5.61,0.26,2152.66,2174.73,2151.84,297092,6319515,1226284498
2011-07-28,2155.85,-18.46,-0.85,2138.61,2160.44,2138.61,299515,5882751,1215976556
2011-07-29,2133.21,-22.64,-1.05,2159.27,2159.27,2133.21,328774,6020141,1203578277
2011-08-01,2172.31,39.1,1.83,2160.09,2173.28,2158.24,262846,6427039,1225742990
2011-08-02,2121.27,-51.04,-2.35,2152.85,2155.44,2114.75,350312,7695653,1197148101
2011-08-03,2066.26,-55.01,-2.59,2079.19,2080.76,2056.53,434482,8044964,1166087623
2011-08-04,2018.47,-47.79,-2.31,2067.17,2071.03,2015.23,356391,7657734,1139294680
2011-08-05,1943.75,-74.72,-3.7,1937.17,1966.73,1920.67,480968,10397344,1097159530
2011-08-08,1869.45,-74.3,-3.82,1916.57,1939.92,1800,571105,10810135,1055252387
2011-08-09,1801.35,-68.1,-3.64,1807.88,1828.63,1684.68,684991,13504985,1016755822
2011-08-10,1806.24,4.89,0.27,1877.4,1877.4,1802.29,486308,11197248,1019901953
2011-08-11,1817.44,11.2,0.62,1733.92,1832.48,1733.92,438895,8888936,1026226215
2011-08-12,1793.31,-24.13,-1.33,1844.13,1847.12,1788.97,468854,8993165,1012639818
2011-08-16,1879.87,86.56,4.83,1850.53,1879.87,1848.82,423450,7092013,1061488081
2011-08-17,1892.67,12.8,0.68,1868.85,1906.61,1868.6,430980,6368751,1068514035
2011-08-18,1860.58,-32.09,-1.7,1891.82,1894.94,1833.34,503354,8460599,1050327510
2011-08-19,1744.88,-115.7,-6.22,1789.78,1797.18,1744.86,503835,9509813,985507692
2011-08-22,1710.7,-34.18,-1.96,1756.59,1763.64,1704.54,420268,7281790,966478199
2011-08-23,1776.68,65.98,3.86,1735.23,1781.92,1719.97,428457,8096576,1003576643
2011-08-24,1754.78,-21.9,-1.23,1788.39,1799.11,1744.07,412561,7759920,991373084
2011-08-25,1764.58,9.8,0.56,1791.08,1803.77,1762.79,398182,6039178,997486130
2011-08-26,1778.95,14.37,0.81,1754.39,1782.9,1754.39,310994,4950928,1005706804
2011-08-29,1829.5,50.55,2.84,1807.6,1836.66,1787.29,339096,6499782,1033964422
2011-08-30,1843.82,14.32,0.78,1853.77,1863.51,1835.65,493171,6518538,1042182129
2011-08-31,1880.11,36.29,1.97,1846.89,1880.11,1837.82,410350,6548723,1062663271
2011-09-01,1880.7,0.59,0.03,1887.21,1928.4,1877.4,500400,8722077,1063398229
2011-09-02,1867.75,-12.95,-0.69,1872.62,1890.86,1853.7,442558,5529121,1056107322
2011-09-05,1785.83,-81.92,-4.39,1829.3,1829.75,1785.82,414041,5902507,1009866663
2011-09-06,1766.71,-19.12,-1.07,1752.98,1790.47,1744.03,505301,6592715,999276616
2011-09-07,1833.46,66.75,3.78,1811.6,1833.54,1798.79,417889,6157974,1037168513
2011-09-08,1846.64,13.18,0.72,1858.05,1858.05,1826.44,416661,7019834,1044647819
2011-09-09,1812.93,-33.71,-1.83,1817.1,1847.05,1812.9,331919,5523273,1026016145
2011-09-14,1749.16,-63.77,-3.52,1804.09,1807.47,1743.78,339699,5872974,989823119
2011-09-15,1774.08,24.92,1.42,1797.18,1806.63,1742.91,392101,6322419,1004011695
2011-09-16,1840.1,66.02,3.72,1819.45,1844.52,1807.62,430066,7639829,1040674112
2011-09-19,1820.94,-19.16,-1.04,1818.9,1839.82,1813.1,335585,4986032,1029879834
2011-09-20,1837.97,17.03,0.94,1819.84,1840.73,1793.75,321238,5538384,1039651561
2011-09-21,1854.28,16.31,0.89,1842.17,1869.77,1831.95,297584,5971826,1048762888
2011-09-22,1800.55,-53.73,-2.9,1807.24,1819.81,1785.69,295390,5783802,1018418633
2011-09-23,1697.44,-103.11,-5.73,1736.38,1743.49,1697.39,411837,7565051,960324773
2011-09-26,1652.71,-44.73,-2.64,1720.5,1721.03,1644.11,424262,7371959,935382491
2011-09-27,1735.71,83,5.02,1704.25,1735.71,1695.05,339822,6226371,982219222
2011-09-28,1723.09,-12.62,-0.73,1751.04,1762.67,1723.08,344432,6360416,975890589
2011-09-29,1769.29,46.2,2.68,1713.1,1769.75,1706.9,373919,6682576,1001668484
2011-09-30,1769.65,0.36,0.02,1759.52,1774.29,1742.89,354163,6551421,1001920300
2011-10-04,1706.19,-63.46,-3.59,1683.94,1706.45,1658.06,301541,6753150,966819366
2011-10-05,1666.52,-39.67,-2.33,1718.52,1718.52,1659.31,336296,7676993,944762965
2011-10-06,1710.32,43.8,2.63,1714.84,1733.7,1707.77,352625,7868461,969364910
2011-10-07,1759.77,49.45,2.89,1751.55,1765.43,1747.42,334732,7563471,996728120
2011-10-10,1766.44,6.67,0.38,1763.3,1783.37,1761.68,274639,5033066,1000538723
2011-10-11,1795.02,28.58,1.62,1810.36,1811.14,1792.78,399985,7153222,1016518313
2011-10-12,1809.5,14.48,0.81,1789.65,1810.51,1778.97,355347,5831022,1024751945
2011-10-13,1823.1,13.6,0.75,1831.95,1837.49,1823.1,431553,6649712,1032594261
2011-10-14,1835.4,12.3,0.67,1816.19,1839.19,1803.42,349010,5079715,1039982588
2011-10-17,1865.18,29.78,1.62,1855.72,1865.18,1845.43,367735,5922686,1056485746
2011-10-18,1838.9,-26.28,-1.41,1826.44,1845.18,1822.91,323455,6386362,1041799232
2011-10-19,1855.92,17.02,0.93,1851.84,1855.93,1834.38,340011,5768906,1051276589
2011-10-20,1805.09,-50.83,-2.74,1857.46,1870.5,1804.11,349123,6797451,1022960861
2011-10-21,1838.38,33.29,1.84,1831.89,1843.51,1809.42,355182,6463620,1041700141
2011-10-24,1898.32,59.94,3.26,1858.26,1898.32,1858.23,373903,6775213,1075216922
2011-10-25,1888.65,-9.67,-0.51,1900.99,1905.78,1883.68,354772,6098845,1069855936
2011-10-26,1894.31,5.66,0.3,1871.69,1896.02,1864.99,384786,5622895,1072704627
2011-10-27,1922.04,27.73,1.46,1906.16,1923.98,1891.23,418276,8066122,1088058942
2011-10-28,1929.48,7.44,0.39,1961.09,1963.74,1920.81,508760,10124481,1092618579
2011-10-31,1909.03,-20.45,-1.06,1922.31,1941.32,1902.04,393703,6433179,1081785632
2011-11-01,1909.63,0.6,0.03,1891.22,1925.08,1891.22,353626,6285357,1082696792
2011-11-02,1898.01,-11.62,-0.61,1870.51,1899.35,1859.83,389594,6758007,1076004508
2011-11-03,1869.96,-28.05,-1.48,1895.14,1895.14,1863.57,436425,6300666,1060087086
2011-11-04,1928.41,58.45,3.13,1911.56,1929.01,1906.33,466597,7161493,1093102064
2011-11-07,1919.1,-9.31,-0.48,1932.95,1932.95,1915.38,349699,5278008,1087907919
2011-11-08,1903.14,-15.96,-0.83,1927.89,1928.07,1900.09,403211,5230861,1078796430
2011-11-09,1907.53,4.39,0.23,1925.86,1929.65,1897.47,434624,6195596,1081658625
2011-11-10,1813.25,-94.28,-4.94,1860.96,1862.27,1813.25,401930,7902942,1028617421
2011-11-11,1863.45,50.2,2.77,1840.98,1863.46,1823.87,296907,5279685,1057051588
2011-11-14,1902.81,39.36,2.11,1889.33,1907.62,1889.33,327269,5267982,1078853548
2011-11-15,1886.12,-16.69,-0.88,1888.67,1900.58,1878.42,361434,4846933,1069085556
2011-11-16,1856.07,-30.05,-1.59,1898.14,1911.33,1853.13,407755,5676397,1054071562
2011-11-17,1876.67,20.6,1.11,1862.87,1876.88,1835.73,353144,4760666,1065288045
2011-11-18,1839.17,-37.5,-2,1839.63,1850.04,1832.17,337050,4814558,1043648093
2011-11-21,1820.03,-19.14,-1.04,1833.9,1833.9,1811.69,299737,4018004,1032780883
2011-11-22,1826.28,6.25,0.34,1798.41,1830.84,1797.93,271102,3945924,1036523834
2011-11-23,1783.1,-43.18,-2.36,1820.86,1820.86,1780.24,411239,4665456,1011727032
2011-11-24,1795.06,11.96,0.67,1775.82,1800.01,1769.43,280370,4194979,1019300746
2011-11-25,1776.4,-18.66,-1.04,1780.06,1790.81,1766.73,306414,4311348,1008677119
2011-11-28,1815.28,38.88,2.19,1804.8,1816.65,1795.39,277682,4304404,1030593864
2011-11-29,1856.52,41.24,2.27,1828.3,1856.76,1823.93,329522,6336967,1054313765
2011-11-30,1847.51,-9.01,-0.49,1847.17,1858.1,1838.7,334553,6502652,1049141145
2011-12-01,1916.18,68.67,3.72,1911.5,1926.33,1908.33,500455,9338549,1087816203
2011-12-02,1916.04,-0.14,-0.01,1914.41,1920.64,1905.69,389330,5824235,1087837646
2011-12-05,1922.9,6.86,0.36,1928.46,1929.18,1911.61,330236,4166261,1091784693
2011-12-06,1902.82,-20.08,-1.04,1914.49,1920.7,1892.01,383430,4644042,1080409632
2011-12-07,1919.42,16.6,0.87,1914.5,1921.52,1904.52,402804,5806817,1090515430
2011-12-08,1912.39,-7.03,-0.37,1911.07,1925.56,1898.34,426922,6004378,1087887776
2011-12-09,1874.75,-37.64,-1.97,1883.86,1894.59,1872.67,372814,5132355,1066565198
2011-12-12,1899.76,25.01,1.33,1902.75,1903.19,1890.18,409625,5365878,1080713925
2011-12-13,1864.06,-35.7,-1.88,1877.4,1880.4,1863.77,450083,5271931,1060252724
2011-12-14,1857.75,-6.31,-0.34,1852.2,1864.79,1851.89,401927,4410182,1056355325
2011-12-15,1819.11,-38.64,-2.08,1834.82,1840.94,1817.61,409620,5391436,1034636031
2011-12-16,1839.96,20.85,1.15,1827.83,1842.94,1823.68,489950,4377714,1046533511
2011-12-19,1776.93,-63.03,-3.43,1829.49,1829.49,1750.6,684314,6683264,1010870033
2011-12-20,1793.06,16.13,0.91,1791.62,1797.59,1780.1,389772,3992723,1019982859
